INFO 2024-12-02 14:33:38,819 autoreload Watching for file changes with StatReloader
DEBUG 2024-12-02 14:33:38,820 autoreload Waiting for apps ready_event.
DEBUG 2024-12-02 14:33:39,197 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-12-02 14:33:39,208 autoreload Watching dir C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\templates with glob **/*.
DEBUG 2024-12-02 14:33:39,208 autoreload Watching dir C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\main\templates with glob **/*.
DEBUG 2024-12-02 14:33:39,209 autoreload Watching dir C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\locale with glob **/*.mo.
DEBUG 2024-12-02 14:33:39,209 autoreload Watching dir C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\main\locale with glob **/*.mo.
DEBUG 2024-12-02 14:33:39,270 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-12-02 14:33:39,274 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-12-02 14:33:39,410 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\wsgiref\util.py first seen with mtime 1711640225.800686
DEBUG 2024-12-02 14:33:39,411 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\contrib\auth\hashers.py first seen with mtime 1724695076.6421163
DEBUG 2024-12-02 14:33:39,411 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\template\library.py first seen with mtime 1724695078.8054476
DEBUG 2024-12-02 14:33:39,412 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\http\response.py first seen with mtime 1724695078.7914238
DEBUG 2024-12-02 14:33:39,412 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\utils\translation\trans_real.py first seen with mtime 1724695078.8719528
DEBUG 2024-12-02 14:33:39,412 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\template\__init__.py first seen with mtime 1724695078.7973974
DEBUG 2024-12-02 14:33:39,414 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\http\cookies.py first seen with mtime 1725909142.4518492
DEBUG 2024-12-02 14:33:39,414 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\core\files\storage\__init__.py first seen with mtime 1724695078.4380953
DEBUG 2024-12-02 14:33:39,414 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\textwrap.py first seen with mtime 1711640219.2291818
DEBUG 2024-12-02 14:33:39,414 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\weakref.py first seen with mtime 1711640225.7897847
DEBUG 2024-12-02 14:33:39,415 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\asyncio\tasks.py first seen with mtime 1712849613.1636481
DEBUG 2024-12-02 14:33:39,415 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\db\models\functions\text.py first seen with mtime 1724695078.6947615
DEBUG 2024-12-02 14:33:39,415 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\template\loaders\cached.py first seen with mtime 1724695078.8164985
DEBUG 2024-12-02 14:33:39,415 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\main\forms.py first seen with mtime 1733126349.2984965
DEBUG 2024-12-02 14:33:39,416 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\utils\cache.py first seen with mtime 1724695078.8411148
DEBUG 2024-12-02 14:33:39,416 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\logging\handlers.py first seen with mtime 1725909150.2547154
DEBUG 2024-12-02 14:33:39,416 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\utils\dateparse.py first seen with mtime 1724695078.8451288
DEBUG 2024-12-02 14:33:39,417 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\reprlib.py first seen with mtime 1711640174.9776933
